StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Spørsmålet vi jobber med har mange svaralternativer. Vi skal bare legge til et alternativ og trenger å vite at det nye svaralternativet (Ofte og mye kjørt - derav komprimert snødekke) er enkelt å forstå. Så les spørsmålet nedenfor og gi oss et svar på skalaen nedenfor,"""Hvilke (om noen) av snøfaktorene nedenfor var viktigst for din vurdering av det mest kritiske henget? Klikk alle som passer.


Ofte og mye kjørt – derav komprimert snødekke.""

Spørsmålet over er klart og forståelig:"
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID1""}"
2023-03-30 19:16:47,2023-03-30 19:17:29,0,83.108.10.54,100,42,1,2023-03-30 19:17:30,R_3yD40mGCNoGDiY9,,,,,69.6341,18.9745,anonymous,EN,,4
2023-03-30 19:17:13,2023-03-30 19:17:49,0,77.18.59.2,100,35,1,2023-03-30 19:17:49,R_1QMWsSnJ9JOCwuh,,,,,59.955,10.859,anonymous,EN,,3
2023-03-30 19:19:36,2023-03-30 19:21:06,0,195.139.89.38,100,90,1,2023-03-30 19:21:08,R_3nlw1nRrjXejgvQ,,,,,69.6667,19.8333,anonymous,EN,,3
2023-03-30 19:22:50,2023-03-30 19:23:34,0,91.186.77.128,100,43,1,2023-03-30 19:23:34,R_DIcYWcMGMpxFC5b,,,,,69.638,18.9395,anonymous,EN,,3
2023-03-30 19:23:59,2023-03-30 19:24:20,0,77.16.35.89,100,21,1,2023-03-30 19:24:21,R_2zvTUHka2uRdllc,,,,,59.955,10.859,anonymous,EN,,4
2023-03-30 19:25:24,2023-03-30 19:25:39,0,83.243.240.92,100,15,1,2023-03-30 19:25:41,R_1PZdtkQ1erzNufE,,,,,62.6214,7.0547,anonymous,EN,,4
2023-03-30 19:26:04,2023-03-30 19:27:24,0,89.8.192.27,100,79,1,2023-03-30 19:27:26,R_247Mt2zhc16HFb5,,,,,59.9452,10.7559,anonymous,EN,,3
2023-03-30 19:31:19,2023-03-30 19:32:49,0,89.8.203.109,100,89,1,2023-03-30 19:32:50,R_2azDpJ5A81BjUJb,,,,,59.9452,10.7559,anonymous,EN,,4
2023-03-30 19:34:16,2023-03-30 19:35:34,0,129.242.178.175,100,77,1,2023-03-30 19:35:34,R_1JKJ7p7TbtlTWr9,,,,,69.6513,18.9619,anonymous,EN,,3
2023-03-30 19:39:38,2023-03-30 19:40:35,0,85.113.172.182,100,56,1,2023-03-30 19:40:35,R_ZBJxVvSCraM9ssh,,,,,69.9703,23.3564,anonymous,EN,,4
2023-03-30 19:39:43,2023-03-30 19:42:23,0,81.191.170.157,100,159,1,2023-03-30 19:42:24,R_2w5AJrKLTcysRhs,,,,,59.955,10.859,anonymous,EN,,
2023-03-30 19:42:36,2023-03-30 19:44:07,0,81.191.170.157,100,90,1,2023-03-30 19:44:08,R_3ph9M7IsFGYO2Cm,,,,,59.955,10.859,anonymous,EN,"Blir et snødekke ""komprimert"" av å bli kjørt ofte og mye? Blir det ikke heller ""delt opp""? Og antar at det er snakk om ""ofte og mye"" nå nylig, ikke bare vanligvis, typ ""Kirketaket er en topp som blir ofte og mye kjørt om vinteren""",2
2023-03-30 19:44:09,2023-03-30 19:44:50,0,188.113.121.211,100,41,1,2023-03-30 19:44:51,R_2PcUSqfT6ajjIKZ,,,,,63.4277,10.4012,anonymous,EN,,4
2023-03-30 19:44:49,2023-03-30 19:45:54,0,89.8.239.186,100,65,1,2023-03-30 19:45:55,R_1GZ8SRGvgGOPL0T,,,,,59.9452,10.7559,anonymous,EN,,3
2023-03-30 19:53:39,2023-03-30 19:54:16,0,89.8.239.63,100,36,1,2023-03-30 19:54:17,R_3dZdZwzQRrnLgg5,,,,,59.9452,10.7559,anonymous,EN,,3
2023-03-30 19:58:03,2023-03-30 19:59:03,0,46.9.180.232,100,59,1,2023-03-30 19:59:03,R_3QLtqdiZrmqrsMF,,,,,69.6513,18.9619,anonymous,EN,,4
2023-03-30 19:58:00,2023-03-30 20:00:29,0,81.191.130.10,100,149,1,2023-03-30 20:00:32,R_3kBUrxOOouizbkl,,,,,69.6411,18.9448,anonymous,EN,,3
2023-03-30 20:00:35,2023-03-30 20:02:32,0,213.128.172.209,100,116,1,2023-03-30 20:02:33,R_3Kqk6L2l5MWUdeg,,,,,62.1407,6.0708,anonymous,EN,,3
2023-03-30 20:02:22,2023-03-30 20:03:37,0,89.8.233.16,100,75,1,2023-03-30 20:03:39,R_2sQQuRH4eDILxMH,,,,,59.9452,10.7559,anonymous,EN,,3
2023-03-30 20:03:42,2023-03-30 20:05:06,0,81.166.134.154,100,84,1,2023-03-30 20:05:07,R_ZxWcdVJ6ZIt7gc1,,,,,58.9671,5.7614,anonymous,EN,,3
2023-03-30 20:07:29,2023-03-30 20:08:26,0,89.8.239.207,100,56,1,2023-03-30 20:08:26,R_1IcteenvCOjxPD1,,,,,59.9452,10.7559,anonymous,EN,,2
2023-03-30 20:12:47,2023-03-30 20:13:26,0,89.162.74.199,100,38,1,2023-03-30 20:13:26,R_1OjE94cxNIUB2jT,,,,,66.8632,13.7067,anonymous,EN,,2
2023-03-30 20:16:27,2023-03-30 20:16:58,0,46.15.247.109,100,31,1,2023-03-30 20:16:59,R_3MGXUTxwPLRYb5X,,,,,59.9452,10.7559,anonymous,EN,,1
2023-03-30 20:18:29,2023-03-30 20:18:52,0,188.113.74.182,100,23,1,2023-03-30 20:18:52,R_1gLvpzOXvcNivUl,,,,,63.4277,10.4012,anonymous,EN,,3
2023-03-30 20:19:18,2023-03-30 20:20:07,0,77.16.219.129,100,49,1,2023-03-30 20:20:08,R_2qgQDoBRUJs433a,,,,,59.955,10.859,anonymous,EN,,3
2023-03-30 20:26:02,2023-03-30 20:26:57,0,46.9.181.12,100,55,1,2023-03-30 20:26:58,R_1lt1vLgsk9N2PPN,,,,,69.6513,18.9619,anonymous,EN,,2
2023-03-30 20:32:46,2023-03-30 20:34:31,0,77.18.57.247,100,104,1,2023-03-30 20:34:31,R_yVWI8oQ4Szf79Lz,,,,,59.955,10.859,anonymous,EN,,3
2023-03-30 20:37:40,2023-03-30 20:38:15,0,193.90.177.121,100,34,1,2023-03-30 20:38:16,R_pzuPDp2E7mAyPLz,,,,,69.638,18.9395,anonymous,EN,,3
2023-03-30 20:45:30,2023-03-30 20:46:29,0,193.214.250.171,100,58,1,2023-03-30 20:46:29,R_2XcGk1txMceyTzy,,,,,69.6341,18.9745,anonymous,EN,,2
2023-03-30 20:45:59,2023-03-30 20:47:20,0,81.235.227.221,100,80,1,2023-03-30 20:47:20,R_2pWseHFYuPf4o3k,,,,,58.4016,15.6462,anonymous,EN,,2
2023-03-30 20:54:32,2023-03-30 20:55:12,0,195.139.200.226,100,39,1,2023-03-30 20:55:14,R_2ruuNaypToTjKFD,,,,,69.6341,18.9745,anonymous,EN,,4
2023-03-30 21:06:02,2023-03-30 21:06:36,0,89.8.214.236,100,34,1,2023-03-30 21:06:37,R_3yMZ6tu33VbzLkR,,,,,59.9452,10.7559,anonymous,EN,,3
2023-03-30 21:06:02,2023-03-30 21:06:55,0,84.213.118.119,100,53,1,2023-03-30 21:06:56,R_1LhwhlKrW3Z9A83,,,,,59.955,10.859,anonymous,EN,,4
2023-03-30 21:07:22,2023-03-30 21:08:10,0,80.232.62.26,100,47,1,2023-03-30 21:08:10,R_1H04jYx1QHOMHxM,,,,,60.3963,5.3212,anonymous,EN,,4
2023-03-30 21:08:31,2023-03-30 21:09:18,0,88.89.65.30,100,47,1,2023-03-30 21:09:18,R_5yzP7AnfzpVpR3b,,,,,69.6513,18.9619,anonymous,EN,,4
2023-03-30 21:10:31,2023-03-30 21:11:35,0,141.0.233.22,100,63,1,2023-03-30 21:11:36,R_2coOpHrezeGDL8z,,,,,69.2307,18.0171,anonymous,EN,,1
2023-03-30 21:15:07,2023-03-30 21:15:44,0,46.15.52.190,100,36,1,2023-03-30 21:15:46,R_pE6VWc6LO95cKch,,,,,59.955,10.859,anonymous,EN,,4
